original,regenerated,pos,meaning_ja,violations_before,violations_after,notes
kesta,kesuta,noun,客,cluster_or_coda@2:st,OK,
kin,kina,noun,王,cluster_or_coda@2:n;missing_suffix:expected_a,OK,
kona2,kuna,noun,政府,OK,OK,衝突分化 x1
kopa,kopa,noun,警官,OK,OK,
mana,mana,noun,人,OK,OK,
nepa,nepa,noun,隣人,OK,OK,
pepa,pepa,noun,赤ちゃん,OK,OK,
posa2,pusa,noun,上司,OK,OK,衝突分化 x1
prea,pulea,noun,選手,uses_r;cluster_or_coda@0:pr,OK,
prena,pulena,noun,友達,uses_r;cluster_or_coda@0:pr,OK,
sitia,sitia,noun,市民,OK,OK,
sora3,lala,noun,兵士,uses_r,OK,衝突分化 x2
stua,sutua,noun,学生,cluster_or_coda@0:st,OK,
titsa,titusa,noun,先生,cluster_or_coda@2:ts,OK,
toka,toka,noun,医者,OK,OK,
woma,woma,noun,女,OK,OK,
hama,ama,noun,ハンマー,invalid_char:h,OK,
kamera,kamela,noun,カメラ,uses_r,OK,
kara,kala,noun,車,uses_r,OK,
kia,kia,noun,鍵,OK,OK,
klasa,kulasa,noun,クラス,cluster_or_coda@0:kl,OK,
koma,koma,noun,PC,OK,OK,
mira,mila,noun,鏡,uses_r,OK,
paka2,teka,noun,カバン,OK,OK,衝突分化 x1
pasa4,pokita,noun,ポケット,OK,OK,手動解決: 英pocket音訳
pena,pena,noun,ペン,OK,OK,
pepa2,pipa,noun,紙,OK,OK,衝突分化 x1
poka4,peka,noun,箱,OK,OK,衝突分化 x3
peta,pita,noun,ベッド,OK,OK,衝突分化 x1
ramp,lamupa,noun,ランプ,uses_r;cluster_or_coda@2:mp;missing_suffix:expected_a,OK,
ropa2,nawa,noun,ロープ,uses_r,OK,手動解決: 日本『縄』由来
roto,lota,noun,ロボット,uses_r;missing_suffix:expected_a,OK,
sera,sila,noun,椅子,uses_r,OK,衝突分化 x1
sipa,sipa,noun,船,OK,OK,
sota2,luta,noun,塩,OK,OK,衝突分化 x1
tepa,tepa,noun,テーブル,OK,OK,
tela,tela,noun,電話,OK,OK,
tipia,tipia,noun,TV,OK,OK,
tora,tola,noun,ドア,uses_r,OK,
trena,tulena,noun,電車,uses_r;cluster_or_coda@0:tr,OK,
tula,tula,noun,道具,OK,OK,
winta,winuta,noun,窓,cluster_or_coda@2:nt,OK,
wira,wila,noun,針金,uses_r,OK,
aura,aula,noun,時間,uses_r,OK,
ipa,ipa,noun,夕方,OK,OK,
ira,ila,noun,年,uses_r,OK,
jestea,jesutea,noun,昨日,cluster_or_coda@2:st,OK,
minta,minuta,noun,分,cluster_or_coda@2:nt,OK,
mora,mola,noun,朝,uses_r,OK,
moroa,moloa,noun,明日,uses_r,OK,
mosa,mosa,noun,月,OK,OK,
naita,naita,noun,夜,OK,OK,
nuna,nuna,noun,昼,OK,OK,
teia,teia,noun,日,OK,OK,
tuteia,tuteia,noun,今日,OK,OK,
wika,wika,noun,週,OK,OK,
arao,alao,verb,洗う,uses_r,OK,
areo,aleo,verb,逮捕する,uses_r,OK,
hako,ako,verb,抱きしめる,invalid_char:h,OK,
hapo,apo,verb,起こる,invalid_char:h,OK,
hato,ato,verb,傷つける,invalid_char:h,OK,
herpo,elupo,verb,助ける,invalid_char:h,OK,
hio,io,verb,打つ,invalid_char:h,OK,
hoto,oto,verb,持つ,invalid_char:h,OK,
ito,ito,verb,食べる,OK,OK,
joino,joino,verb,参加する,OK,OK,
joso,joso,verb,加わる,OK,OK,
jupo,jupo,verb,跳ぶ,OK,OK,
juso,juso,verb,使う,OK,OK,
kako,kako,verb,書く,OK,OK,
kanao,kanao,verb,考える,OK,OK,
karo,kalo,verb,運ぶ,uses_r,OK,
kato,kato,verb,切る,OK,OK,
katso,katuso,verb,捕まえる,cluster_or_coda@2:ts,OK,
kero,kelo,verb,気にかける,uses_r,OK,
kiko,kiko,verb,蹴る,OK,OK,
kimo,kimo,verb,登る,OK,OK,
kio,kio,verb,着る,OK,OK,
kipo,kipo,verb,保つ与える,OK,OK,
kiso,kiso,verb,キスする,OK,OK,
kono,kono,verb,支配する,OK,OK,
koro,pulo,verb,覆う,uses_r,OK,REVIEW: 衝突残存 (koloと同形)
koso,koso,verb,させる,OK,OK,
koto,koto,verb,数える,OK,OK,
kraio,kulaio,verb,泣く,uses_r;cluster_or_coda@0:kr,OK,
krio,kulio,verb,創造する,uses_r;cluster_or_coda@0:kr,OK,
kro,kulo,verb,成長する,uses_r;cluster_or_coda@0:kr,OK,
kroso,kuloso,verb,閉める,uses_r;cluster_or_coda@0:kr,OK,
kuro,palo,verb,含む,uses_r,OK,衝突分化 x1
lepo,lepo,verb,去る,OK,OK,
lito,lito,verb,導く,OK,OK,
luso,luso,verb,失う,OK,OK,
mano,mano,verb,管理する,OK,OK,
mari,malo,verb,結婚する,uses_r;missing_suffix:expected_o,OK,
mato,mato,verb,待つ,OK,OK,
meko,meko,verb,作る,OK,OK,
mero,melo,verb,結婚する,uses_r,OK,
mito,mito,verb,会う,OK,OK,
neo,neo,verb,寝る,OK,OK,
obo,upo,verb,覚える,invalid_char:b,OK,衝突分化 x1
oko,oko,verb,起きる,OK,OK,
ono,ono,verb,所有する,OK,OK,
opo,apelo,verb,開ける,OK,OK,手動解決: openの音節展開
oro,olo,verb,命じる,uses_r,OK,
paito,paito,verb,戦う,OK,OK,
pako,pako,verb,支払う,OK,OK,
pao,pao,verb,落ちる,OK,OK,
paso,paso,verb,合格する,OK,OK,
peno,peno,verb,費やす,OK,OK,
pero,pelo,verb,失敗する,uses_r,OK,
piko,piko,verb,拾う,OK,OK,
pito,pito,verb,祈る,OK,OK,
plao,pulao,verb,計画する,cluster_or_coda@0:pl,OK,
poo,po,verb,夢見る,OK,OK,
poro,polo,verb,従う,uses_r,OK,
poto,poto,verb,守る,OK,OK,
praio,pulaio,verb,飛ぶ,uses_r;cluster_or_coda@0:pr,OK,
preko,puleko,verb,壊す,uses_r;cluster_or_coda@0:pr,OK,
preo,puleo,verb,遊ぶ,uses_r;cluster_or_coda@0:pr,OK,
proo,pulomiso,verb,約束する,uses_r;cluster_or_coda@0:pr,OK,手動解決: 英promise音節展開
pulo,talo,verb,引く,OK,OK,衝突分化 x1
puno,puno,verb,罰する,OK,OK,
puso,puso,verb,押す,OK,OK,
puto,puto,verb,置く,OK,OK,
raio,laio,verb,乗る,uses_r,OK,
raito,laito,verb,書く,uses_r,OK,
rano,lano,verb,走る,uses_r,OK,
rapo,lapo,verb,笑う,uses_r,OK,
reso,leso,verb,受け取る,uses_r,OK,
riko,liko,verb,飲む,uses_r,OK,
ruso,laso,verb,負ける,uses_r,OK,衝突分化 x1
sao,sao,verb,触る,OK,OK,
sapo,sapo,verb,支える,OK,OK,
sats,satuso,verb,探す,cluster_or_coda@2:ts;missing_suffix:expected_o,OK,
seko,seko,verb,振る,OK,OK,
selo,selo,verb,売る,OK,OK,
seno,seno,verb,送る,OK,OK,
sepo,sepo,verb,救う,OK,OK,
sero,silo,verb,共有する,uses_r,OK,衝突分化 x1
sino,sino,verb,歌う,OK,OK,
slipo,sulipo,verb,寝る,cluster_or_coda@0:sl,OK,
speo,supeo,verb,綴る,cluster_or_coda@0:sp,OK,
sroo,sulo,verb,投げる,uses_r;cluster_or_coda@0:sr,OK,
supo2,supo,verb,支援する,OK,OK,
suto,suto,verb,座る,OK,OK,
swimo,suwimo,verb,泳ぐ,cluster_or_coda@0:sw,OK,
tako2,tako,verb,攻撃する,OK,OK,
tano,tano,verb,頼む,OK,OK,
tanso,tanuso,verb,踊る,cluster_or_coda@2:ns,OK,
taso,taso,verb,変える,OK,OK,
teko,teko,verb,取る,OK,OK,
tepo,tepo,verb,発展する,OK,OK,
toko2,toko,verb,話す,OK,OK,
toro,tolo,verb,試す,uses_r,OK,
trao,tulao,verb,運転する,uses_r;cluster_or_coda@0:tr,OK,
tropo,tulopo,verb,落とす,uses_r;cluster_or_coda@0:tr,OK,
tuko,tuko,verb,作る,OK,OK,
tuso,tuso,verb,選ぶ,OK,OK,
waso,waso,verb,洗う,OK,OK,
weso,weso,verb,願う,OK,OK,
weto,weto,verb,待つ,OK,OK,
wino,wino,verb,勝つ,OK,OK,
wiso,wiso,verb,訪問する,OK,OK,
woko,woko,verb,働く,OK,OK,
iko,iko,verb,行く,OK,OK,
koo,ko,verb,行く,OK,OK,
komo,komo,verb,来る,OK,OK,
kuro2,komo,verb,来る,uses_r,OK,手動解決: 既存komo(来る)に統合
stano,sutano,verb,立つ,cluster_or_coda@0:st,OK,
sito,sito,verb,座る,OK,OK,
wako,wako,verb,歩く,OK,OK,
aro,alo,verb,ある,uses_r,OK,
pio,pio,verb,です,OK,OK,
pino,pino,verb,終わる,OK,OK,
ripo,lipo,verb,住む,uses_r,OK,
simo,simo,verb,のようだ,OK,OK,
stato,sutato,verb,始まる,cluster_or_coda@0:st,OK,
steo,suteo,verb,とどまる,cluster_or_coda@0:st,OK,
stopo,sutopo,verb,止まる,cluster_or_coda@0:st,OK,
taio,taio,verb,死ぬ,OK,OK,
tato,tato,verb,立つ,OK,OK,
akro,akulo,verb,同意する,uses_r;cluster_or_coda@1:kr,OK,
aro2,elo,verb,議論する,uses_r,OK,衝突分化 x1
asko,asuko,verb,尋ねる,cluster_or_coda@1:sk,OK,
espo,esupo,verb,説明する,cluster_or_coda@1:sp,OK,
hio2,oo,verb,聞く,invalid_char:h,OK,衝突分化 x1
hopo,opo,verb,望む,invalid_char:h,OK,
juo,juo,verb,言う,OK,OK,
kato2,peto,verb,話す,OK,OK,衝突分化 x1
keso,keso,verb,推測する,OK,OK,
keto,keto,verb,理解する,OK,OK,
kiko2,koko,verb,聞く,OK,OK,衝突分化 x1
kiso2,poso,verb,決める,OK,OK,衝突分化 x1
kolo,kolo,verb,呼ぶ,OK,OK,
komo2,kumo,verb,比較する,OK,OK,衝突分化 x1
liro,lilo,verb,聞く,uses_r,OK,
memo2,memo,verb,覚える,OK,OK,
mino,mino,verb,意味する,OK,OK,
mio,mio,verb,見る,OK,OK,
noo,mo,verb,知る,OK,OK,衝突分化 x1
noto,noto,verb,気づく,OK,OK,
omo,omo,verb,思う,OK,OK,
pain,paino,verb,見つける,cluster_or_coda@3:n;missing_suffix:expected_o,OK,
pilo,pilo,verb,感じる,OK,OK,
pipo,pipo,verb,信じる,OK,OK,
pokio,pokio,verb,許す,OK,OK,
poko,poko,verb,忘れる,OK,OK,
raiko,laiko,verb,好む,uses_r,OK,
reko,leko,verb,反対する,uses_r,OK,
reso2,liso,verb,認識する,uses_r,OK,衝突分化 x1
rito,loto,verb,読む,uses_r,OK,衝突分化 x1
ropo,lopo,verb,愛する,uses_r,OK,
seo,seo,verb,言う,OK,OK,
sio,sio,verb,見る,OK,OK,
siko,siko,verb,思う,OK,OK,
smeo,sumeo,verb,匂う,cluster_or_coda@0:sm,OK,
suo,suo,verb,座る,OK,OK,
tato2,teto,verb,疑う,OK,OK,衝突分化 x1
teso,teso,verb,味わう,OK,OK,
titso,tituso,verb,教える,cluster_or_coda@2:ts,OK,
wako2,weko,verb,分かる,OK,OK,衝突分化 x1
wato,wato,verb,見る,OK,OK,
wonto,wonuto,verb,欲する,cluster_or_coda@2:nt,OK,
ane,ane,adj,怒った,OK,OK,
eme,eme,adj,空の,OK,OK,
epre,epule,adj,すべての,uses_r;cluster_or_coda@1:pr,OK,
hono,one,adj,正直な,invalid_char:h,OK,
hose,ose,adj,全体の,invalid_char:h,OK,
hote,ote,adj,暑い,invalid_char:h,OK,
ime,ime,adj,重要な,OK,OK,
impoe,imupoe,adj,不可能な,cluster_or_coda@1:mp,OK,
ise,ise,adj,簡単な,OK,OK,
itse,ituse,adj,それぞれの,cluster_or_coda@1:ts,OK,
jere,jele,adj,嫉妬深い,uses_r,OK,
kaie,kaie,adj,親切な,OK,OK,
kape,kape,adj,主な,OK,OK,
kase,kase,adj,気体の,OK,OK,
kire,kile,adj,明確な,uses_r,OK,
kome,kome,adj,一般的な,OK,OK,
kompe,komupe,adj,複雑な,cluster_or_coda@2:mp,OK,
kore,kole,adj,寒い,uses_r,OK,
kue,kue,adj,静かな,OK,OK,
kuke,kuke,adj,調理された,OK,OK,
kule,kule,adj,涼しい,OK,OK,
kure,kale,adj,現在の,uses_r,OK,衝突分化 x1
kute,kute,adj,良い,OK,OK,
lase,lase,adj,大きい,OK,OK,
lese,lese,adj,より少ない,OK,OK,
male,male,adj,悪い,OK,OK,
mene,mene,adj,多くの,OK,OK,
naise,naise,adj,素敵な,OK,OK,
naroe,naloe,adj,狭い,uses_r,OK,
naue,naue,adj,現在の,OK,OK,
nese,nese,adj,必要な,OK,OK,
nete,nete,adj,次の,OK,OK,
noie,noie,adj,うるさい,OK,OK,
nome,nome,adj,普通の,OK,OK,
nue,nue,adj,新しい,OK,OK,
orao,olae,adj,オレンジ,uses_r;missing_suffix:expected_e,OK,
ore,ole,adj,古い,uses_r,OK,
pae,pae,adj,主な,OK,OK,
papo,pape,adj,公の,missing_suffix:expected_e,OK,
pase,pase,adj,過去の,OK,OK,
paste,pasute,adj,速い,cluster_or_coda@2:st,OK,
pate,pate,adj,悪い,OK,OK,
paue,paue,adj,強力な,OK,OK,
pike,pike,adj,大きい,OK,OK,
pine,pine,adj,ピンク,OK,OK,
piue,piue,adj,少数の,OK,OK,
plake,pulake,adj,黒い,cluster_or_coda@0:pl,OK,
plue,pulue,adj,青い,cluster_or_coda@0:pl,OK,
pore,pole,adj,礼儀正しい,uses_r,OK,
pori,tule,adj,退屈な,uses_r;missing_suffix:expected_e,OK,衝突分化 x1
pose,pose,adj,可能な,OK,OK,
poso,puse,adj,最初の,missing_suffix:expected_e,OK,衝突分化 x1
prae,pulae,adj,誇りに思う,uses_r;cluster_or_coda@0:pr,OK,
praite,pulaite,adj,明るい,uses_r;cluster_or_coda@0:pr,OK,
prao,palae,adj,私的な,uses_r;cluster_or_coda@0:pr;missing_suffix:expected_e,OK,衝突分化 x1
prepe,pulepe,adj,勇敢な,uses_r;cluster_or_coda@0:pr,OK,
pue,pue,adj,貧しい,OK,OK,
pule,pule,adj,満ちた,OK,OK,
pure,pale,adj,純粋な,uses_r,OK,衝突分化 x1
puro,pele,adj,紫,uses_r;missing_suffix:expected_e,OK,衝突分化 x2
pute,pute,adj,未来の,OK,OK,
raie,laie,adj,右の,uses_r,OK,
raite,laite,adj,軽い,uses_r,OK,
raso,sese,adj,最後の,uses_r;missing_suffix:expected_e,OK,衝突分化 x1
raue,laue,adj,生の,uses_r,OK,
reae,leae,adj,本物の,uses_r,OK,
rete,lete,adj,赤い,uses_r,OK,
ripe,lipe,adj,準備ができた,uses_r,OK,
rise,lise,adj,裕福な,uses_r,OK,
rike,like,adj,液体の,uses_r,OK,
rone,lone,adj,間違った,uses_r,OK,
rope,lope,adj,左の,uses_r,OK,
rute,lute,adj,失礼な,uses_r,OK,
sae,sae,adj,悲しい,OK,OK,
saie,saie,adj,恥ずかしがりな,OK,OK,
sape,sape,adj,安全な,OK,OK,
sare,sale,adj,浅い,uses_r,OK,
sate,sate,adj,悲しい,OK,OK,
seme,seme,adj,同じ,OK,OK,
sike,sike,adj,病気の,OK,OK,
sile,sile,adj,静かな,OK,OK,
sime,sime,adj,似ている,OK,OK,
simpe,simupe,adj,単純な,cluster_or_coda@2:mp,OK,
sine,sine,adj,薄い,OK,OK,
sipo,sipe,adj,単一の,missing_suffix:expected_e,OK,
sire,lole,adj,真面目な,uses_r,OK,衝突分化 x1
siye,sije,adj,愚かな,invalid_char:y,OK,
skue,sukue,adj,四角い,cluster_or_coda@0:sk,OK,
smae,sumae,adj,賢い,cluster_or_coda@0:sm,OK,
smole,sumole,adj,小さい,cluster_or_coda@0:sm,OK,
some,some,adj,いくつかの,OK,OK,
sore,sole,adj,酸っぱい,uses_r,OK,
sote,sote,adj,柔らかい,OK,OK,
spese,supese,adj,特別な,cluster_or_coda@0:sp,OK,
stue,sutue,adj,愚かな,cluster_or_coda@0:st,OK,
stra,sutule,adj,まっすぐな,uses_r;cluster_or_coda@0:st;missing_suffix:expected_e,OK,
